month,country,country_key,region,order_count,unique_customers,total_revenue,avg_order_value,fulfilled_orders,open_orders,orders_per_customer,avg_revenue,stddev_revenue,q1_revenue,q3_revenue,avg_orders,stddev_orders,avg_customers,stddev_customers,avg_aov,stddev_aov,avg_fulfillment_rate,stddev_fulfillment_rate,revenue_zscore,orders_zscore,customers_zscore,aov_zscore,revenue_upper_fence,revenue_lower_fence,revenue_iqr_outlier,revenue_mom_change,orders_mom_change,revenue_spike,orders_spike,expected_revenue,revenue_deviation_pct,correlation_breakdown,fulfillment_rate,fulfillment_anomaly,revenue_anomaly,orders_anomaly,customers_anomaly,aov_anomaly,revenue_component,orders_component,customers_component,aov_component,mom_component,deviation_component,anomaly_score,anomaly_severity,anomaly_types,country_code
1995-01-01,ALGERIA,0,AFRICA,770,694,113914066.74,147940.34641558,770,0,1.10951,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,-0.14183144721710575,0.41610072926607383,0.445250523360338,-1.2226150913361498,133617550.3075,96266960.8875,0,,,False,False,117172130.6742765,-2.780579234607849,False,100.0,True,False,False,False,False,0.8509886833026344,1.6644029170642953,1.3357515700810139,2.4452301826722995,,0.13902896173039245,,,Fulfillment rate anomaly,DZA
1995-02-01,ALGERIA,0,AFRICA,704,643,109929861.93,156150.37205966,641,1,1.094868,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,-0.7958356266232645,-1.3385706732080345,-1.2041318885196057,1.1496618561063252,133617550.3075,96266960.8875,0,-3.497552957259986,-8.571428571428575,False,False,107128805.18790993,2.6146625430731407,False,91.05113636363636,True,False,False,False,False,4.775013759739587,5.354282692832138,3.612395665558817,2.2993237122126504,0.1748776478629993,0.13073312715365704,16.34662660535985,Normal,Fulfillment rate anomaly,DZA
1995-03-01,ALGERIA,0,AFRICA,775,691,115466152.71,148988.58414194,328,36,1.121563,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,0.11294228043613254,0.5490303809686577,0.3482280285438707,-0.9197280722832395,133617550.3075,96266960.8875,0,5.036202795856615,10.08522727272727,False,False,117932988.6656679,-2.0917268217981206,False,42.32258064516129,False,False,False,False,False,0.6776536826167953,2.196121523874631,1.044684085631612,1.8394561445664792,0.25181013979283073,0.10458634108990604,6.114311917572254,Normal,None,DZA
1995-04-01,ALGERIA,0,AFRICA,800,712,122289235.25,152861.5440625,125,126,1.123596,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,1.2329460730105382,1.2136786394815775,1.0273854922591417,0.19935899713878147,133617550.3075,96266960.8875,0,5.909162451386574,3.2258064516129004,False,False,121737278.62262493,0.4533998407226469,False,15.625,False,False,False,False,False,7.397676438063229,4.854714557926311,3.082156476777425,0.39871799427756294,0.2954581225693287,0.022669992036132347,16.051393581649986,Normal,None,DZA
1995-05-01,ALGERIA,0,AFRICA,755,677,115469010.02,152939.08611921,37,297,1.115214,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,0.11341130569235651,0.017311774158321937,-0.1045436139329766,0.22176468033211616,133617550.3075,96266960.8875,0,-5.577126405326838,-5.625000000000002,False,False,114889556.70010228,0.5043568245373824,False,4.900662251655629,False,False,False,False,False,0.680467834154139,0.06924709663328775,0.3136308417989298,0.4435293606642324,0.2788563202663419,0.025217841226869122,1.8109492947438,Normal,None,DZA
1995-06-01,ALGERIA,0,AFRICA,762,697,113246586.2,148617.5671916,6,682,1.093257,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,-0.25139786853576274,0.2034132865419395,0.5422730181768052,-1.026932969875325,133617550.3075,96266960.8875,0,-1.924692884796586,0.9271523178807861,False,False,115954757.88805024,-2.335541669333546,False,0.7874015748031495,False,False,False,False,False,1.5083872112145764,0.813653146167758,1.6268190545304155,2.0538659397506502,0.0962346442398293,0.11677708346667731,6.215737079369907,Normal,None,DZA
1995-07-01,ALGERIA,0,AFRICA,758,677,115032507.78,151757.92583113,0,758,1.119645,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,0.04175979607025197,0.09706956517987231,-0.1045436139329766,-0.11953015163557229,133617550.3075,96266960.8875,0,1.5770202351583107,-0.5249343832021025,False,False,115346071.49493712,-0.27184602897454024,False,0.0,False,False,False,False,False,0.25055877642151186,0.38827826071948923,0.3136308417989298,0.23906030327114458,0.07885101175791553,0.013592301448727013,1.283971495417718,Normal,None,DZA
1995-08-01,ALGERIA,0,AFRICA,794,715,119056761.37,149945.54328715,0,794,1.11049,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,0.7023379521541101,1.0541630574384768,1.124407987075609,-0.6432158884920852,133617550.3075,96266960.8875,0,3.498362043620218,4.74934036939314,False,False,120824249.03295524,-1.4628583890251623,False,0.0,False,False,False,False,False,4.21402771292466,4.216652229753907,3.3732239612268264,1.2864317769841707,0.1749181021810109,0.07314291945125811,13.338396702521832,Normal,None,DZA
1995-09-01,ALGERIA,0,AFRICA,742,664,112648424.38,151817.283531,0,742,1.11747,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,-0.3495856748602058,-0.3283053202683964,-0.5249744248043349,-0.102378816285439,133617550.3075,96266960.8875,0,-5.382589712888652,-6.549118387909325,False,False,112911325.92248462,-0.2328389471443389,False,0.0,False,False,False,False,False,2.0975140491612345,1.3132212810735855,1.5749232744130046,0.20475763257087803,0.2691294856444326,0.011641947357216945,5.471187670220352,Normal,None,DZA
1995-10-01,ALGERIA,0,AFRICA,795,708,123621105.98,155498.24651572,0,795,1.122881,114778106.37767442,6092017.35318831,110273431.92,119611079.275,754.348837,37.61388024386742,680.232558,30.92066438484141,152171.59827828116,3460.8209015946204,5.922948395349,21.18051141716939,1.4515716370534497,1.0807489877789935,0.8980221658371852,0.9612309715033328,133617550.3075,96266960.8875,0,9.740643653377301,7.14285714285714,False,False,120976420.63123353,2.186116381165004,False,0.0,False,False,False,False,False,8.709429822320697,4.322995951115974,2.6940664975115554,1.9224619430066658,0.487032182668865,0.10930581905825021,18.245292215682007,Normal,None,DZA
